Category,Name,Status,Link,Notes ( Fill in with your method to solve )
Backtracking,Combination Sum,,https://leetcode.com/problems/combination-sum/,
Backtracking,Permutations,,https://leetcode.com/problems/permutations/,
Backtracking,Subsets II,,https://leetcode.com/problems/subsets-ii/,
Backtracking,Combination Sum II,,https://leetcode.com/problems/combination-sum-ii/,
Backtracking,Word Search,,https://leetcode.com/problems/word-search/,
Backtracking,Palindrome Partitioning,,https://leetcode.com/problems/palindrome-partitioning/,
Backtracking,Letter Combinations of a Phone Number,,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,
Backtracking,N-Queens,,https://leetcode.com/problems/n-queens/,
Graphs,Number of Islands,,https://leetcode.com/problems/number-of-islands/,
Graphs,Clone Graph,,https://leetcode.com/problems/clone-graph/,
Graphs,Max Area of Island,,https://leetcode.com/problems/max-area-of-island/,
Graphs,Pacific Atlantic Waterflow,,https://leetcode.com/problems/pacific-atlantic-water-flow/,
Graphs,Surrounded Regions,,https://leetcode.com/problems/surrounded-regions/,
Graphs,Rotting Oranges,,https://leetcode.com/problems/rotting-oranges/,
Graphs,Walls and Gates,,https://leetcode.com/problems/walls-and-gates/,
Graphs,Course Schedule,,https://leetcode.com/problems/course-schedule/,
Graphs,Course Schedule II,,https://leetcode.com/problems/course-schedule-ii/,
Graphs,Redundant Connection,,https://leetcode.com/problems/redundant-connection/,
Graphs,Number of Connected Components in Graph,,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,
Graphs,Graph Valid Tree,,https://leetcode.com/problems/graph-valid-tree/,
Graphs,Word Ladder,,https://leetcode.com/problems/word-ladder/,
Advanced Graphs,Reconstruct Itinerary,,https://leetcode.com/problems/reconstruct-itinerary/,
Advanced Graphs,Min Cost to Connect all Points,,https://leetcode.com/problems/min-cost-to-connect-all-points/,
Advanced Graphs,Network Delay Time,,https://leetcode.com/problems/network-delay-time/,
Advanced Graphs,Swim in Rising Water,,https://leetcode.com/problems/swim-in-rising-water/,
Advanced Graphs,Alien Dictionary,,https://leetcode.com/problems/alien-dictionary/,
Advanced Graphs,Cheapest Flights with K Stops,,https://leetcode.com/problems/cheapest-flights-within-k-stops/,
1-D Dynamic Programming,Climbing Stairs,,https://leetcode.com/problems/climbing-stairs/,
1-D Dynamic Programming,Min Cost Climbing Stairs,,https://leetcode.com/problems/min-cost-climbing-stairs/,
1-D Dynamic Programming,House Robber,,https://leetcode.com/problems/house-robber/,
1-D Dynamic Programming,House Robber II,,https://leetcode.com/problems/house-robber-ii/,
1-D Dynamic Programming,Longest Palindroming Substring,,https://leetcode.com/problems/longest-palindromic-substring/,
1-D Dynamic Programming,Palindrome Substrings,,https://leetcode.com/problems/palindromic-substrings/,
1-D Dynamic Programming,Decode Ways,,https://leetcode.com/problems/decode-ways/,
1-D Dynamic Programming,Coin Change,,https://leetcode.com/problems/coin-change/,
